Название;event_id;כינוי לשם האירוע;Бизнес-категория события;Краткое описание сути события;За сколько обычно планируют событие;Уровень временного давления;Насколько допустим перенос события с нашей стороны;Насколько допустим перенос события со стороны клиента;Типичное время проведения;Состоит ли событие из нескольких частей;Типичное минимальное количество гостей;Максимум гостей (типично);Длительность;Допустимый разброс длительности события;Типовые форматы проведения;Типичные локации;Типы локаций с ограничениями;Состояние клиента при первом обращении;Типичный уровень напряжённости клиента;Что клиент хочет решить в момент первого контакта;Ключевой риск, которого боится клиент;Роль клиента в принятии решения;Тип клиента;Категория клиента (B2C / B2B);Кто принимает решение;Кол-во решающих;Типичная гибкость клиента при обсуждени;Стиль общения;Темп общения;Что нельзя в общении;Что важно транслировать;Релевантные услуги;Запрещённые услуги;Услуги с условиями;Риски и срывы;Обязательные условия для оказания услуг;Технические требования;Организационные требования;Юридические ограничения;Требования к стороне клиента;Религиозные ограничения;Ограничения по времени / дням недели;Обязательные данные от клиента;Примечания
ברית מילה;brit_mila;ברית, מסיבת ברית;מסורתי משפחתי;ברית מילה הוא אירוע שנערך ביום ה 8 להולדת הבן, בדרך כלל כולל טקס ברית מילה עצמו, וסעודה. אירוע לרוב מתמשך עם הגדרת זמנים תוחמים (קבועים), רגיש לחוקים דתיים/מסורתיים;1-7 ימים;Критичная;Не допустим;допустим, Переносы могут быть из-за желтухи у новорожденых;Церемония происходит до заката, так что само торжество должно начаться до заката, а закончиться может позже. Так как время и солнце двигаются то получается что время может меняться в зависимости от времени года.  За частую начало после обеда. Но если речь идет о пятнице тогда может быть и раньше. Бывает начало и в 8 утра.;1 событие;20;150;Примерно 3 часа;שעה וחצי +-;צילומי משפחה, קבלת פנים, טקס, סעודה;מסעדה, אולם אירועים, בית כנסת, בית פרטי או דירה;בחוץ;"אמא (אחרי לידה): רגישה, מוצפת
	•	אבא: לחוץ, דרוך
	•	סבתא/סבא: שמחים, מתלהבים
	•	אח/ות: עוזר, נלהב";"	•	אמא (אחרי לידה): קריטי
	•	אבא: גבוה
	•	סבתא/סבא: בינוני
	•	אח/ות: בינוני";"•	אמא: לסגור ספק מהר בלי טעויות
	•	אבא: לקבל אישור זמינות מחיר מיד
	•	סבתא/סבא: להבין חבילה מהירה מתאימה
	•	אח/ות: לסגור שירות בלי להטריד הורים";"	•	אמא: להיתקע בלי שירות ברגע האחרון, לבחור ספק שלא עומד בהתחייבות
	•	אבא: לפספס רגעים חשובים של הטקס, לבחור ספק שלא עומד בהתחייבות
	•	סבתא/סבא: להיראות לא מכובד מול משפחה
	•	אח/ות: לבחור ספק שלא עומד בהתחייבות";"•	אמא: Совместное решение
	•	אבא: Совместное решение
	•	סבתא/סבא: Влияет на решение
	•	אח/ות: Посредник
";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
Album
Flowers";Games;;;;;;;;;;;
פדיון הבן;pidyon_haben;ברית מילה, ברית, מסיבת ברית;מסורתי משפחתי;פדיון הבן הוא אירוע שנערך ביום ה 31 אחרי הולדת הבן, בדרך כלל כולל טקס פדיון הבן, וסעודה. אירוע לרוב מתמשך עם הגדרת זמנים תוחמים (קבועים), פחות רגיש לחוקים דתיים/מסורתיים;7-14 ימים לפני האירוע, יכול להיות גם ממש סמוך לאירוע;גבוה;Не допустим;Не допустим;Любое время, чаще вечер;1 событие;20;150;Примерно 3 часа;שעה וחצי +-;צילומי משפחה, קבלת פנים, טקס, סעודה;מסעדה, אולם אירועים,;בחוץ;"אבא: אחראי, זהיר
	•	אמא (אחרי לידה): עייפה, רגישה
	•	סבא/סבתא: מרוגשים, גאים";"	•	אבא: גבוה
	•	אמא (אחרי לידה): גבוה
	•	סבא/סבתא: בינוני";"	•	אבא: לוודא חבילה זמינות מחיר
	•	אמא: לסגור ארגון בסיסי בלי עומס
	•	סבא/סבתא: להבין מה צריך להזמין בדיוק";"•	אמא: להיתקע בלי שירות ברגע האחרון, לבחור ספק שלא עומד בהתחייבות
	•	אבא: לפספס רגעים חשובים של הטקס, לבחור ספק שלא עומד בהתחייבות
	•	סבתא/סבא: להיראות לא מכובד מול משפחה
	•	אח/ות: לבחור ספק שלא עומד בהתחייבות";"	•	אמא: Совместное решение
	•	אבא: Совместное решение
	•	סבתא/סבא: Влияет на решение
	•	אח/ות: Посредник";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
Flowers";Games;;;;;;;;;;;
בריתה;brita;זבד הבת;מסורתי משפחתי;בריתה הוא אירוע שנערך אחרי הולדת בת (בטווח עד כ 4 חודשים לאחר לידה), בדרך כלל אינו כולל שום טקס, כולל סעודה. אירוע לרוב מתמשך עם הגדרת זמנים תוחמים (קבועים), פחות רגיש לחוקים דתיים/מסורתיים;14-30 ימים לפני האירוע, יכול להיות גם ממש סמוך לאירוע;גבוה;Не допустим;Не допустим;Чаще вечер;1 событие;20;200;Примерно 5 часов;שעה וחצי +-;צילומי משפחה, קבלת פנים, טקס, סעודה;מסעדה, אולם אירועים,;בחוץ;"	•	אמא (אחרי לידה): רגישה, מתרגשת
	•	אבא: לחוץ, משתדל
	•	סבתא/סבא: שמחים, מעורבים
	•	אחות/חברה קרובה: נלהבת, מתקתקת
";"	•	אמא (אחרי לידה): גבוה
	•	אבא: גבוה
	•	סבתא/סבא: בינוני
	•	אחות/חברה קרובה: בינוני";"	•	אמא: לסגור עיצוב צילום יפה ומושקע
	•	אבא: לקבל הצעה ברורה לסגירה
	•	סבתא/סבא: לבחור חבילה יפה, יכולים להרשות מחיר טיפה יותר גבוה
	•	אחות/חברה: לסגור ספק מהר לפי תקציב";"•	אמא: תוצאה לא יפה בתמונות, לבחור ספק שלא עומד בהתחייבות
	•	אבא: איחור שיפיל את הלו״ז, לבחור ספק שלא עומד בהתחייבות
	•	סבתא/סבא: חבילה לא תואמת למה שהובטח
	•	אחות/חברה: להיתקע בלי פתרון בזמן";"	אמא: Совместное решение
	•	אבא: Совместное решение
	•	סבתא/סבא: Влияет на решение
	•	אחות/חברה: Посредник";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
Flowers";Games;;;;;;;;;;;
מסיבת בר מצווה;bar_mitzvah_party;בר מצווה;מסורתי משפחתי;בר מצווה היא טקס/חגיגה לציון הגעה לבגרות דתית (בדרך כלל בגיל 13). לרוב האירוע מורכב מכמה חלקים: עלייה לתורה בבית הכנסת ואירוע חגיגי/מסיבה עם משפחה וחברים. זה יכול להתקיים באותו יום או בימים שונים, וכולל בדרך כלל כיבוד/ארוחה, מוזיקה, ברכות ולעיתים גם מצגת או תוכן מיוחד.;לרוב 30 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;Не допустим;Чаще вечер;1 событие;50;200;Примерно 5 часов;שעה וחצי +-;צילומי משפחה, קבלת פנים, כניסת חתן, תחילת מסיבה, מצגת, ברכות,פעילות חברתית, סעודה;מסעדה, אולם אירועים,;בחוץ;"•	אמא: מעורבת, מתלבטת
	•	אבא: ממוקד, לחוץ
	•	הילד: נרגש, ביישן (לפעמים גם לחוץ)
	•	סבא/סבתא: גאים, מרוגשים
	•	מפיק/ה מטעם המשפחה: ענייני, תקתקן";"	•	אמא: בינוני
	•	אבא: בינוני
	•	הילד (עם ההורים): בינוני
	•	סבתא/סבא: נמוך
	•	מפיק/ה מטעם המשפחה: בינוני";"	•	אמא: להשוות חבילות לבחור כיוון
	•	אבא: להבין מחיר סופי לסגירה
	•	הילד: לבחור משהו מגניב לאירוע
	•	סבתא/סבא: לתמוך בבחירה בלי הסתבכות
	•	מפיק/ה משפחתי: לקבל מחיר וזמינות מיידית";"	•	אמא: לא לעמוד בציפיות של הילד
	•	אבא: חריגה תקציבית ברגע האחרון
	•	הילד: להיראות “לא מגניב” מול חברים
	•	סבתא/סבא: פספוס רגע משפחתי מרכזי
	•	מפיק/ה משפחתי: ספק שלא עומד בזמנים";"	•	אמא: Совместное решение
	•	אבא: Совместное решение
	•	הילד: Влияет на решение
	•	סבתא/סבא: Влияет на решение
	•	מפיק/ה משפחתי: Посредник";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
Games
Flowers
table_rent

";;;;;;;;;;;;
מסיבת בת מצווה;bat_mitzvah_party;בת מצווה;משפחתי;מסיבת בת מצווה היא חגיגה לכבוד ילדה שמגיעה לגיל 12 ונחשבת “בת מצווה” לפי המסורת היהודית. לרוב זו מסיבה משפחתית/חברתית עם אוכל וכיבוד, מוזיקה וריקודים, ברכות ונאומים, ולעיתים גם מצגת או תוכן מיוחד לפי הסגנון של המשפחה. בחלק מהמשפחות משלבים גם טקס דתי או אירוע משמעותי (כמו דרשה/הדלקת נרות), באותו יום או ביום אחר.;לרוב 30 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;Не допустим;Чаще вечер;1 событие;40;200;Примерно 5 часов;שעה וחצי +-;צילומי משפחה, קבלת פנים, כניסת כלה, תחילת מסיבה, מצגת, קטע אומנותי של כלה, ברכות,פעילות חברתית, סעודה;מסעדה, אולם אירועים, לופט, בריכה;בחוץ;"מסיבת בת מצווה
	•	אמא: מתלבטת, מעורבת
	•	אבא: פרקטי, דרוך
	•	הילדה: נלהבת, רגשית
	•	סבא/סבתא: מרוגשים, מפרגנים
	•	מפיק/ה: ענייני, מוביל";"	•	אמא: בינוני
	•	אבא: בינוני
	•	הילדה (עם ההורים): בינוני
	•	סבתא/סבא: נמוך
	•	מפיק/ה: בינוני";"	•	אמא: למצוא פתרון מתאים לסגנון
	•	אבא: לקבל הצעה קצרה תקציב ברור
	•	הילדה: לוודא שיש סטייל מתאים
	•	סבתא/סבא: להבין מה מקבלים בחבילה
	•	מפיק/ה: לסגור ספק לפי לו״ז";"	•	אמא: לא לעמוד בציפיות של הבת
	•	אבא: ספק לא מקצועי באירוע גדול
	•	הילדה: להרגיש מבוכה מול החברות
	•	סבתא/סבא: איכות נמוכה שלא מכבדת
	•	מפיק/ה: שינויי דקה 90 בלי מענה";"	•	אמא: Совместное решение
	•	אבא: Совместное решение
	•	הילדה: Влияет на решение
	•	סבתא/סבא: Влияет на решение
	•	מפיק/ה: Посредник";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
Games
Flowers
table_rent

";;;;;;;;;;;;
עליה לתורה בבית כנסת;aliyah_torah_synagogue;בר מצווה, הנחת תפילין, עליה לתורה;מסורתי;עלייה לתורה בבית כנסת היא טקס שבו חתן בר המצווה (או אדם אחר) עולה לבימה במהלך התפילה, מברך על קריאת התורה ולעיתים גם קורא חלק מהפרשה. זהו אירוע מרגש ומשמעותי שמסמל השתתפות מלאה יותר בתפילה ובמסורת, ובדרך כלל המשפחה והחברים מגיעים לברך ולחגוג.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;Не допустим;Чаще утро;1 или 2;25;120;;שעה וחצי +-;צילומי משפחה, קבלת פנים, צילום טקס, סעודה ;בית כנסת;בחוץ;"•	אבא: אחראי, דרוך
	•	אמא: מרוגשת, לחוצה
	•	סבא/סבתא: גאים, נרגשים
	•	חתן בר מצווה: נבוך, מתוח
	•	גבאי/איש קשר בית כנסת: רשמי, מסודר";"	•	אבא: גבוה
	•	אמא: בינוני
	•	סבתא/סבא: נמוך
	•	חתן בר מצווה: גבוה
	•	גבאי/איש קשר בית כנסת: נמוך";"	•	אבא: לסגור שירותים בלי טעויות
	•	אמא: להבין מה צריך להזמין עכשיו
	•	סבתא/סבא: לוודא פתרון מכובד במחיר
	•	חתן בר מצווה: לקבל ביטחון שזה יצליח
	•	גבאי/איש קשר: לקבל פרטים תואמים נהלים";"	•	אבא: חוסר תיאום מול בית הכנסת
	•	אמא: לחץ זמן שיגרום לבלאגן
	•	סבתא/סבא: חוסר כבוד באירוח למשפחה
	•	חתן בר מצווה: לטעות מול כולם בטקס
	•	גבאי/איש קשר: ספק שמפריע להתנהלות התפילה";"	•	אבא: Совместное решение 	•	אמא: Совместное решение
	•	סבתא/סבא: Влияет на решение
	•	חתן בר מצווה: Влияет на решение
	•	גבאי/איש קשר: Посредник";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
table_rent

";Games;;;;;;;;;;;
עליה לתורה בכותל;aliyah_torah_kotel;בר מצווה בכותל,;מסורתי;עלייה לתורה בכותל היא טקס חגיגי ברחבת הכותל המערבי בירושלים, שבו חתן בר המצווה עולה לתורה, מברך ולעיתים גם קורא מהפרשה. זה אירוע מרגש במיוחד בגלל המשמעות הרוחנית וההיסטורית של המקום, ובדרך כלל בני משפחה וחברים מגיעים ללוות, לברך ולחגוג.;לרוב 30 ימים לפני, עד - 7 ימים לפני;;Не допустим;Не допустим;Первая половина дня (8 - 11);1 или 2;25;60;;שעה וחצי +-;תהלוכה משער אשפות, צילום טקס, צילומי משפחה, המשך לסעודה במסעדה;כותל;כל מקום חוץ מכותל;"	•	אבא: נרגש, לחוץ
	•	אמא: מרוגשת, מתכננת
	•	סבא/סבתא: גאים, נוסטלגיים
	•	אורחים מחו״ל (קרובי משפחה): נלהבים, מסוחררים
	•	מפיק/ה/מדריך: ענייני, שולט";"•	אבא: גבוה
	•	אמא: גבוה
	•	סבתא/סבא: בינוני
	•	אורחים מחו״ל (קרובי משפחה): גבוה
	•	מפיק/ה / מדריך: בינוני";"	•	אבא: לסגור לוגיסטיקה מחיר ודאי
	•	אמא: לוודא זמינות ביום המבוקש
	•	סבתא/סבא: להבין חבילה מסודרת לכולם
	•	אורחים מחו״ל: לקבל פתרון מלא בלי התעסקות
	•	מפיק/ה/מדריך: לקבל הצעת מחיר לסגירה";"	•	אבא: איחורים שיפספסו את השעה
	•	אמא: לוגיסטיקה תתפרק מול אורחים
	•	סבתא/סבא: עומס שיהרוס את החוויה
	•	אורחים מחו״ל: להסתבך בלי מי שמוביל
	•	מפיק/ה/מדריך: תנאים בשטח שיפילו ביצוע";"	•	אבא: Совместное решение
	•	אמא: Совместное решение
	•	סבתא/סבא: Влияет на решение
	•	אורחים מחו״ל: Влияет на решение
	•	מפיק/ה/מדריך: Посредник";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Catering
Branding
Balloons
planning_events
Album

";Games;;;;;;;;;;;
עליה לתורה במצדה;aliyah_torah_masada;;מסורתי;עלייה לתורה במצדה היא טקס תפילה חגיגי שנערך באתר מצדה, לרוב בשעות הבוקר (לעיתים עם זריחה), שבו חתן בר המצווה עולה לתורה, מברך ולעיתים גם קורא מהפרשה. זה אירוע מיוחד שמשלב מסורת עם חוויה מרגשת בטבע ובאתר היסטורי, ובדרך כלל המשפחה והחברים מגיעים ללוות, לברך ולחגוג.;לרוב 30 ימים לפני, עד - 7 ימים לפני;;Не допустим;Не допустим;Первая половина дня (8 - 12), может быть на восходе;1 или 2;7;60;;שעה וחצי +-;;מצדה;כל מקום חוץ ממצדה;"•	אבא: דרוך, מתכנן
	•	אמא: מודאגת, מארגנת
	•	הנער/חתן בר מצווה: נרגש, חושש
	•	מפיק/ה/מדריך טיולים: אופרציונלי, תקתקן
	•	סבא/סבתא: מתרגשים, זהירים (יותר חשש לוגיסטי)
";"	•	אבא: גבוה
	•	אמא: גבוה
	•	הנער/חתן בר מצווה: גבוה
	•	מפיק/ה / מדריך טיולים: בינוני
	•	סבתא/סבא: בינוני";"	•	אבא: לוודא היתכנות לוגיסטית מלאה
	•	אמא: להבין מה אפשר ביום ספציפי
	•	הנער: לדעת שזה לא יהיה מביך
	•	מפיק/ה/מדריך: לסגור ספק לפי תנאי שטח
	•	סבתא/סבא: לקבל פתרון נוח בלי סיכון";"•	הורים: תנאי שטח שימנעו ביצוע תקין, עיכובים שימוטטו את הלו״ז, תקלות גישה ציוד ותפעול
	•	הנער: להרגיש מבוכה מול כולם
	•	מפיק/ה/מדריך: תקלות גישה ציוד ותפעול
	•	סבתא/סבא: עומס פיזי שיפגע בהשתתפות";"•	אבא: Совместное решение
	•	אמא: Совместное решение
	•	הנער: Влияет на решение
	•	מפיק/ה/מדריך: Посредник
	•	סבתא/סבא: Влияет на решение";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Catering
Branding
Balloons
planning_events
Album

";Games;;;;;;;;;;;
יום הולדת ילד/ילדה;birthday_child;;מסורתי;חגיגת יום הולדת לילד היא אירוע שמציין את יום ההולדת שלו עם משפחה וחברים. בדרך כלל כוללת קישוטים, עוגה ונרות, כיבוד, משחקים/הפעלות, מוזיקה ומתנות—והכול מותאם לגיל הילד ולסגנון המשפחה.;לרוב 30 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;Не допустим;Чаще первая половина дня (10:00-15:00);1 событие;10;60;;שעה וחצי +-;"קבלת פנים - משחקים/הפעלה - כיבוד/עוגה-חלוקת מתנות; קבלת פנים - עמדות פעילות - טקס עוגה - צילום משפחתי/סיום";לופט, מתנס, פארק, בית פרטי, ג׳ומבורי, משחקיה,בריכה, בחוץ;;"•	אמא: לחוצה, ממהרת
	•	אבא: פרקטי, קצר-רוח
	•	סבתא/סבא: שמחים, מפנקים
	•	הילד/ה: נלהב, אימפולסיבי
	•	ועד כיתה/הורה מארגן: מתוזמן, לחוץ";"	•	אמא: גבוה
	•	אבא: בינוני
	•	סבתא/סבא: נמוך
	•	הילד/ה: בינוני";"	•	אמא: לסגור אטרקציה מהר בתקציב
	•	אבא: לקבל מחיר קצר לסגירה
	•	סבתא/סבא: לבחור משהו משמח בלי מורכב
	•	הילד/ה: לוודא שיש משהו “שווה”
	•	ועד/הורה מארגן: לקבל הצעה אחידה לכל הכיתה";"	•	אמא: אכזבה של הילד מול חברים
	•	אבא: בלגן שלא יסתדר בזמן
	•	סבתא/סבא: שירות חלש שיבאס את הילד
	•	הילד/ה: לא להיות במרכז כמו שציפה
	•	ועד/הורה מארגן: ספק שיבטל ברגע האחרון";"	•	אמא: Принимает решение
	•	אבא: Совместное решение
	•	סבתא/סבא: Влияет на решение
	•	הילד/ה: Влияет на решение
	•	ועד/הורה מארגן: Посредник";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
table_rent
";;;;;;;;;;;;
