Название;event_id;כינוי לשם האירוע;Бизнес-категория события;Краткое описание сути события;За сколько обычно планируют событие;Уровень временного давления;Насколько допустим перенос события с нашей стороны;Насколько допустим перенос события со стороны клиента;Типичное время проведения;Состоит ли событие из нескольких частей;Типичное минимальное количество гостей;Максимум гостей (типично);Длительность;Допустимый разброс длительности события;Типовые форматы проведения;Типичные локации;Типы локаций с ограничениями;Состояние клиента при первом обращении;Типичный уровень напряжённости клиента;Что клиент хочет решить в момент первого контакта;Ключевой риск, которого боится клиент;Роль клиента в принятии решения;Тип клиента;Категория клиента (B2C / B2B);Кто принимает решение;Кол-во решающих;Типичная гибкость клиента при обсуждени;Стиль общения;Темп общения;Что нельзя в общении;Что важно транслировать;Релевантные услуги;Запрещённые услуги;Услуги с условиями;Риски и срывы;Обязательные условия для оказания услуг;Технические требования;Организационные требования;Юридические ограничения;Требования к стороне клиента;Религиозные ограничения;Ограничения по времени / дням недели;Обязательные данные от клиента;Примечания
יום הולדת מבוגר;birthday_adult;;משפחתי;חגיגת יום הולדת למבוגר היא אירוע לציון יום ההולדת עם משפחה וחברים. בדרך כלל כוללת ארוחה או כיבוד, שתייה, מוזיקה, ברכות ולעיתים גם פעילות מיוחדת (כמו הופעה/דיג’יי/מצגת), בהתאם לסגנון החוגג והמקום.;לרוב 30 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;Не допустим;Чаще вечер;1 событие;15;150;;שעה וחצי +-;" / קבלת פנים - ארוחה - נאומים/מצגת - מסיבה/די-ג׳יי ; קבלת פנים - כיבוד/אלכוהול - ברכות/תוכן - ריקודים/סיום";מסעדה, אולם אירועים, בית, לופט, בריכה,;;"	•	בן/בת זוג: רוצה להרשים, לחוץ
	•	החוגג/ת: קליל, מתלבט
	•	ילדים בוגרים: מרוגשים, רוצים “כבוד”
	•	חבר/ה: זורם, נלהב";"•	בן/בת זוג: בינוני
	•	החוגג/ת: נמוך
	•	ילדים בוגרים: בינוני
	•	חבר/ה: נמוך";"	•	בן/בת זוג: להפתיע עם פתרון קל
	•	החוגג/ת: לבדוק מחיר וזמינות מהר
	•	ילדים בוגרים: לסגור מתנה מכובדת בלי לחץ
	•	חבר/ה: להבין אופציה פשוטה לסגירה";"	•	בן/בת זוג: הפתעה שתתקלקל ברגע האמת
	•	החוגג/ת: חוויה לא נעימה למוזמנים
	•	ילדים בוגרים: לצאת “לא מכובד” מול משפחה
	•	חבר/ה: חוסר תיאום שיביך מול כולם";"	•	בן/בת זוג: Принимает решение
	•	החוגג/ת: Принимает решение
	•	ילדים בוגרים: Совместное решение
	•	חבר/ה: Влияет на решение";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie 
Catering
Branding
Balloons
planning_events
Album
Flowers
table_rent

";Games;;;;;;;;;;;
הצעת נישואין;proposal;;משפחתי;אירוע הצעת נישואין הוא רגע מתוכנן שבו אחד מבני הזוג מציע נישואין לשני בצורה מרגשת ומיוחדת. לרוב זה כולל אווירה רומנטית, לוקיישן מושקע, לעיתים קישוטים/פרחים/בלונים, צילום או וידאו, ובסוף גם חגיגה קטנה עם קרובים—הכול לפי הסגנון והתקציב.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;допустим;Закат;1 событие;2;15;;שעה וחצי +-;הגעה למקום - רגע ההצעה - צילום/וידאו - חגיגה קטנה  ;מסעדה, מקום בטבע (חוף ים, מדבר, ים המלח), בחוץ;;"•	המציע/ה: נרגש, חרד
	•	חבר/ה שמסייע/ת: נלהב, סודי
	•	אחות/אח: מתרגש, לחוץ
	•	מפיק/ה: שולט, מרגיע";"	•	המציע/ה: קריטי
	•	חבר/ה שמסייע/ת: בינוני
	•	אח/ות: בינוני
	•	מפיק/ה: בינוני";"	•	המציע/ה: לוודא דיסקרטיות זמינות ביצוע
	•	חבר/ה מסייע/ת: לסגור תיאום מהיר בשקט
	•	אח/ות: לקבל פתרון בטוח בלי סיבוך
	•	מפיק/ה: לקבל תקציב סופי לסגירה";"	•	המציע/ה: שההפתעה תיחשף מראש
	•	חבר/ה מסייע/ת: תקלה שתהרוס את הרגע
	•	אח/ות: אי תיאום שיפיל את ההפתעה
	•	מפיק/ה: טעות תזמון שתפספס רגע שיא";"	•	המציע/ה: Принимает решение
	•	חבר/ה מסייע/ת: Посредник
	•	אח/ות: Влияет на решение
	•	מפיק/ה: Посредник";;B2C;;;;;;;;"
stills
Video
Photo-box-selfie Branding
Balloons
planning_events
Flowers
";Games;;;;;;;;;;;
הפרשת חלה;hafrashat_hallah;;מסורתי משפחתי;אירוע הפרשת חלה הוא מפגש חגיגי, לרוב לנשים, שבו מכינים בצק לחלות ומקיימים את מצוות “הפרשת חלה” עם ברכה ותפילה. בדרך כלל זה כולל דברי תורה/חיזוק, שירים או ברכות, כיבוד ואווירה מרגשת—ולעיתים גם מוקדש לברכה, הודיה או בקשה אישית.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;допустим;Чаще вечер;1 событие;5;60;;שעה וחצי +-;קבלת פנים - שיעור/דברי חיזוק - הפרשת חלה וברכה - כיבוד/שירים;;בחוץ;"	•	מארגנת (אישה): מרוכזת, מתרגשת
	•	חברות/אחיות: חמות, נלהבות
	•	רבנית/מדריכה: רגועה, מובילה
	•	מארגן לוגיסטי (בעל/בן): ענייני, מהיר";"	•	מארגנת (אישה): בינוני
	•	חברות/אחיות: נמוך
	•	רבנית/מדריכה: נמוך
	•	מארגן לוגיסטי (בעל/בן): נמוך";"	•	מארגנת: לבחור חבילה ברורה לפי כמות
	•	חברות/אחיות: לבדוק מחיר לסגירה מהירה
	•	רבנית/מדריכה: לוודא התאמה לאופי האירוע
	•	מארגן לוגיסטי: לקבל פרטים ותשלום מסודר";"	•	מארגנת: אוכל/סידור לא יספיק לכמות
	•	חברות/אחיות: אירוע ירגיש מאולתר ולא מושקע
	•	רבנית/מדריכה: חוסר התאמה לאופי קהל
	•	מארגן לוגיסטי: תקלת אספקה ביום האירוע";"	•	מארגנת: Принимает решение
	•	חברות/אחיות: Влияет на решение
	•	רבנית/מדריכה: Влияет на решение
	•	מארגן לוגיסטי: Посредник";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie
Branding
Balloons
planning_events
Flowers
";Games;;;;;;;;;;;
חינה;henna;;מסורתי משפחתי;אירוע חינה הוא טקס מסורתי חגיגי שנערך לפני החתונה, שבו חוגגים את הזוג עם משפחה וחברים באווירה צבעונית ושמחה. בדרך כלל כוללים לבוש מסורתי, מוזיקה וריקודים, טקס מריחת חינה כסמל לברכה ומזל טוב, כיבוד ולעיתים גם תלבושות וצילומים מיוחדים.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;допустим;Чаще вечер;1 событие;70;200;;שעה וחצי +-;צילומי משפחה, קבלת פנים, טקס, מסיבה;מסעדה, אול אירועים;בחוץ;"	•	משפחת הכלה: מתרגשת, עמוסה
	•	משפחת החתן: גאים, דרוכים
	•	הכלה: נרגשת, מוצפת
	•	החתן: זורם, לחוץ
	•	מפיק/ה: אופרציונלי, מוביל
";"•	משפחת הכלה: גבוה
	•	משפחת החתן: גבוה
	•	הכלה: גבוה
	•	החתן: בינוני
	•	מפיק/ה: בינוני";"	•	משפחת הכלה: לקבל ספק שיסגור הכול
	•	משפחת החתן: להבין מחיר סופי בלי הפתעות
	•	הכלה: לבחור סגנון מהר לסגירה
	•	החתן: לוודא שהכול מסודר בלי עומס
	•	מפיק/ה: לסגור ספקים לפי לו״ז";"	•	משפחת הכלה: אירוע לא ייראה מספיק “גדול”
	•	משפחת החתן: חוסר סדר שיביך מול אורחים
	•	הכלה: להיראות לא טוב בתמונות
	•	החתן: בלגן שייצא משליטה
	•	מפיק/ה: ספקים שלא יעמדו בהפקה";"	•	משפחת הכלה: Совместное решение
	•	משפחת החתן: Совместное решение
	•	הכלה: Влияет на решение
	•	החתן: Влияет на решение
	•	מפיק/ה: Посредник";;B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
planning_events
Album
Flowers
table_rent
";Games;;;;;;;;;;;
חתונה;wedding;;מסורתי משפחתי;תרשום הסבר קצר לאירוע חינה;2 - 18 חודשים לפני;;Не допустим;Не допустим;С утра до ночи(доп. Категоризации по требуемым услугам);1 или 2;70;500;;שעה וחצי +-;צילומי זוג/משפחה - קבלת פנים - חופה - ארוחה - מסיבה;גן אירועים, אולם אירועים, מסעדה;בחוץ;"	•	הכלה: מוצפת, דרוכה (לעיתים עייפה מתכנון)
	•	החתן: מתרגש, לחוץ
	•	אמא של הכלה: דואגת, שולטת
	•	אבא של הכלה: אחראי, לחוץ
	•	הורים של החתן: גאים, דרוכים
	•	מפיק/ה/אולם: ענייני, תקתקן";"	•	הכלה: בינוני
	•	החתן: בינוני
	•	אמא של הכלה: בינוני
	•	אבא של הכלה: בינוני
	•	הורים של החתן: בינוני
	•	מפיק/ה / אולם: בינוני";"	•	הכלה: לבדוק זמינות תנאים בלי חפירות
	•	החתן: לקבל מחיר ברור לסגירה
	•	אמא של הכלה: לוודא שליטה בלי סיכונים
	•	אבא של הכלה: לסגור תקציב ולוגיסטיקה
	•	הורים של החתן: להבין מה מקבלים בפועל
	•	מפיק/אולם: לקבל הצעה קצרה לסגירה";"	•	הכלה: לפספס רגעים מרכזיים ביום
	•	החתן: ספק שיאחר ויפיל לו״ז
	•	אמא של הכלה: תוצאה לא מושלמת מול משפחה
	•	אבא של הכלה: חריגה תקציבית בלי שליטה
	•	הורים של החתן: איכות נמוכה שתביך משפחה
	•	מפיק/אולם: ספק שלא עומד בסטנדרט";"	•	הכלה: Совместное решение
	•	החתן: Совместное решение
	•	אמא של הכלה: Влияет на решение
	•	אבא של הכלה: Влияет на решение
	•	הורים של החתן: Влияет на решение
	•	מפיק/אולם: Посредник";;B2C / B2B2C;;;;;;;;"Magnets
Blocks
stills
Video
Photo-box-selfie
Branding
planning_events
Album
Flowers";Games;;;;;;;;;;;
מסיבת סיום בית ספר;school_graduation;;ציבורי-קהילתי;מסיבת סיום בבית ספר היא אירוע חגיגי שמסכם שנה או תקופה לימודית ומציין סיום כיתה/מסגרת. בדרך כלל כוללת טקס עם נאומים וברכות, מופעים או מצגות של התלמידים, חלוקת תעודות/פרסים, כיבוד וצילומים עם המשפחות והמורים.;לרוב 30 ימים לפני, עד - כמה ימים לפני;;Не допустим;Не допустим;Утро / вечер;1 событие;;;;שעה וחצי +-;;;בחוץ;"	•	ועד הורים: לחוץ, מתואם
	•	מחנכת/מנהלת: רשמית, זהירה
	•	תלמידים (מועצה): נלהבים, מפוזרים
	•	הורים “רגילים”: שמחים, לא רוצים להתעסק";"	•	ועד הורים: גבוה
	•	מחנכת/מנהלת: בינוני
	•	תלמידים (מועצה): נמוך
	•	הורים “רגילים”: נמוך";"	•	ועד הורים: לקבל פתרון קבוצתי במחיר
	•	מחנכת/מנהלת: לוודא פורמט תקני ובטוח
	•	תלמידים: לבחור משהו מגניב לבמה
	•	הורים רגילים: להבין תשלום בלי התעסקות";"	•	ועד הורים: חריגה תקציבית מול הורים
	•	מחנכת/מנהלת: חוסר סדר שיפגע בטקס
	•	תלמידים: טקס משעמם בלי “וואו”
	•	הורים רגילים: כאב ראש ארגוני מיותר";"	•	ועד הורים: Совместное решение
	•	מחנכת/מנהלת: Влияет на решение
	•	תלמידים: Влияет на решение
	•	הורים רגילים: Влияет на решение";;B2C / B2B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
Games


";;;;;;;;;;;;
יום גיבוש בעבודה;work_team_day;;עסקי קהילתי;יום גיבוש בעבודה הוא אירוע שמטרתו לחזק את הקשר והעבודת-צוות בין העובדים מחוץ לשגרה. בדרך כלל הוא כולל פעילויות חווייתיות (כמו סדנאות, משחקי צוות או טיול), ארוחה/כיבוד ולעיתים גם תוכן מקצועי קצר—כדי לשפר תקשורת, מוטיבציה ואווירה.;לרוב 30 ימים לפני, עד - 7 ימים לפני;;Не допустим;Не допустим;Утро / день;1 событие;;;;שעה וחצי +-;;;;"	HR/רווחה: רציונלי, תקתקני
	•	מנהל/ת צוות: תכליתי, קצר בזמן
	•	הנהלה: מדויק, דורש תוצאה
	•	עובדים יוזמים: נלהבים, מציעים רעיונות
";"	•	HR/רווחה: בינוני
	•	מנהל/ת צוות: בינוני
	•	הנהלה: בינוני
	•	עובדים יוזמים: נמוך
";"
	•	HR/רווחה: לקבל פתרון במסגרת תקציב
	•	מנהל צוות: לבחור אופציה קצרה לסגירה
	•	הנהלה: לאשר עלות תוצאה צפויה
	•	עובדים יוזמים: להציע רעיון שישכנע מנהלים
";"
	•	HR/רווחה: חוסר שביעות רצון של עובדים
	•	מנהל צוות: פדיחה מול הנהלה על בחירה
	•	הנהלה: הוצאה בלי ערך או תוצאה
	•	עובדים יוזמים: רעיון שיידחה ויביך אותם
";"	•	HR/רווחה: Влияет на решение
	•	מנהל/ת צוות: Влияет на решение
	•	הנהלה: Принимает решение
	•	עובדים יוזמים: Влияет на решение
";;B2B / B2B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
Games
Flowers
table_rent
";;;;;;;;;;;;
כנסים;conference;;עסקי;כנס הוא אירוע מקצועי או עסקי שבו אנשים מתכנסים סביב נושא משותף כדי ללמוד, להתעדכן ולהתחבר. בדרך כלל הוא כולל הרצאות ופאנלים, נטוורקינג, ולעיתים גם תערוכה/דוכנים, סדנאות וכיבוד—בהתאם לגודל וסוג הכנס.;0-6 חודשים;;Не допустим;Не допустим;Любое время, чаще вечер;1 событие;;;;שעה וחצי +-;;;;"	•	מנהל/ת אירועים/שיווק: לחוץ, מדויק
	•	רכש/כספים: רציונלי, חשדן
	•	מנכ״ל/הנהלה: דורש, קצר
	•	מפיק/ה חיצוני: שולט, מוביל";"•	מנהל/ת אירועים/שיווק: גבוה
	•	רכש/כספים: בינוני
	•	מנכ״ל/הנהלה: בינוני
	•	מפיק/ה חיצוני: בינוני";"	•	מנהל אירועים/שיווק: לקבל פתרון מקצועי במסגרת תקציב
	•	רכש/כספים: לקבל מחיר סופי להשוואה
	•	מנכ״ל/הנהלה: להבין ערך מוסף בלי זמן
	•	מפיק חיצוני: לסגור ספק לפי מפרט";"	•	מנהל אירועים/שיווק: תקלה שתפגע במותג מול קהל
	•	רכש/כספים: ליפול על תנאים נסתרים במחיר
	•	מנכ״ל/הנהלה: אירוע חלש מול שותפים חשובים
	•	מפיק חיצוני: ספק שלא יספק לפי מפרט";"	מנהל/ת אירועים/שיווק: Влияет на решение
	•	רכש/כספים: Влияет на решение
	•	מנכ״ל/הנהלה: Принимает решение
	•	מפיק חיצוני: Посредник";;B2B / B2B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
table_rent


";Games;;;;;;;;;;;
הרצאות;lecture;;עסקי;אירוע הרצאות הוא מפגש שבו מתקיימות כמה הרצאות סביב נושא מסוים לקהל. בדרך כלל כולל סדרת מרצים, הפסקות קצרות, זמן לשאלות ונטוורקינג, ולעיתים גם כיבוד והרשמה מראש—בהתאם למקום ולפורמט.;0-6 חודשים;;Не допустим;Не допустим;Любое время, чаще вечер;1 событие;;;;שעה וחצי +-;;;;"	•	ארגון/מוסד: ענייני, מתואם
	•	מנהל קהילה/תוכן: נלהב, לחוץ
	•	מרצה עצמאי: עסקי, רוצה לסגור מהר
	•	מפיק/ה: מסודר, מוביל
";"	•	ארגון/מוסד: בינוני
	•	מנהל קהילה/תוכן: בינוני
	•	מרצה עצמאי: בינוני
	•	מפיק/ה: בינוני";"•	ארגון/מוסד: לוודא זמינות תנאים מחיר
	•	מנהל תוכן/קהילה: לבחור פורמט מתאים לקהל
	•	מרצה עצמאי: לסגור לוגיסטיקה מחיר מהיר
	•	מפיק/ה: לקבל פרטים מלאים לסגירה";"	•	ארגון/מוסד: חוסר מקצועיות מול קהל
	•	מנהל תוכן/קהילה: כשל טכני שיפיל את הערב
	•	מרצה עצמאי: ארגון לקוי שיפגע במוניטין
	•	מפיק/ה: עיכובים שיפגעו בלו״ז
";"	•	ארגון/מוסד: Принимает решение
	•	מנהל תוכן/קהילה: Влияет на решение
	•	מרצה עצמאי: Принимает решение
	•	מפיק/ה: Посредник";;B2B / B2B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
Album
Flowers
table_rent


";Games;;;;;;;;;;;
טקסים;ceremony;;קהילתי;טקס הוא אירוע רשמי ומסודר שמתקיים לציון רגע חשוב או הישג, כמו סיום, פתיחה, הוקרה או זיכרון. בדרך כלל כולל סדר תוכן מוגדר, נאומים וברכות, לעיתים מוזיקה/קטעי קישור, ולעיתים גם חלוקת תעודות או פרסים.;0-6 חודשים;;Не допустим;Не допустим;Любое время, чаще день;1 событие;;;;שעה וחצי +-;;;;"•	רשות/מוסד: רשמי, זהיר
	•	ועד/קהילה: לחוץ, אחראי
	•	משפחה (אם טקס פרטי): מרוגשת, דרוכה
	•	מפיק/ה: אופרציונלי, רגוע";"	•	רשות/מוסד: בינוני
	•	ועד/קהילה: בינוני
	•	משפחה (אם טקס פרטי): גבוה
	•	מפיק/ה: בינוני";"•	רשות/מוסד: לקבל הצעה תקנית בהתאם נהלים
	•	ועד/קהילה: לסגור ספק אמין בזמן קצר
	•	משפחה: לוודא כבוד ודיוק בביצוע
	•	מפיק/ה: לקבל מחיר לסגירה לפי לו״ז";"	•	רשות/מוסד: חריגה מפרוטוקול מול קהל
	•	ועד/קהילה: פגיעה בכבוד האירוע הציבורי
	•	משפחה: רגע חשוב ייהרס מחוסר דיוק
	•	מפיק/ה: ספק לא אמין באירוע רשמי";"	•	רשות/מוסד: Принимает решение
	•	ועד/קהילה: Влияет на решение
	•	משפחה: Совместное решение
	•	מפיק/ה: Посредник";;B2B / B2B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
Album
table_rent
";Games;;;;;;;;;;;
מסיבת רווקות;bachelorette_party;;משפחתי;מסיבת רווקות היא חגיגה שנערכת לפני החתונה לכבוד הכלה (ולפעמים גם עם החברות הקרובות). בדרך כלל כוללת בילוי משותף כמו ארוחה, פעילות או סדנה, מוזיקה ומשחקים, מתנות ואווירה שמחה—והכול מותאם לסגנון של הכלה ולתקציב.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;допустим;Чаще вечер, пятница утром;1 событие;5;50;;שעה וחצי +-;;בריכה, לופט, מסעדה;;"	•	מלווה/חברה הכי טובה: נלהבת, לחוצה
	•	אחיות הכלה: מעורבות, דואגות
	•	הכלה: נרגשת, מוצפת
	•	מפיק/ה: שולט, מרגיע";"•	מלווה/חברה הכי טובה: גבוה
	•	אחיות הכלה: בינוני
	•	הכלה: בינוני
	•	מפיק/ה: בינוני";"	•	מלווה/חברה הכי טובה: לסגור משהו שווה מהר
	•	אחיות הכלה: לוודא שזה מתאים לכלה
	•	הכלה: לבדוק מה עושים בלי עומס
	•	מפיק/ה: לסגור חבילה לפי תאריך";"	•	מלווה/חברה הכי טובה: הכלה תתאכזב מהאירוע
	•	אחיות הכלה: משהו לא מתאים יפגע בכלה
	•	הכלה: מבוכה מול חברות ביום שלה
	•	מפיק/ה: שינויים ברגע האחרון בלי פתרון";"	•	מלווה/חברה: Принимает решение
	•	אחיות הכלה: Влияет на решение
	•	הכלה: Влияет на решение
	•	מפיק/ה: Посредник";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
Flowers
table_rent
";Games;;;;;;;;;;;
מסיבת רווקים;bachelor_party;;משפחתי;מסיבת רווקים היא חגיגה שנערכת לפני החתונה לכבוד החתן, בדרך כלל עם חברים קרובים. לרוב כוללת בילוי משותף כמו ארוחה או יציאה, פעילות חווייתית/אטרקציה, מוזיקה ואווירה כיפית—בהתאם לסגנון של החתן ולתקציב.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;Не допустим;допустим;Чаще вечер, пятница утром;1 событие;5;50;;שעה וחצי +-;;בריכה, לופט, מסעדה;;"	•	חבר הכי טוב: נלהב, ממהר
	•	החתן: זורם, נבוך
	•	חברים: קלילים, אימפולסיביים
	•	מפיק/ה/מקום: ענייני, ישיר";"•	חבר הכי טוב: בינוני
	•	החתן: נמוך
	•	חברים: נמוך
	•	מפיק/ה/מקום: בינוני";"	•	חבר הכי טוב: לסגור פעילות בלי בלגן
	•	החתן: לוודא שזה לא מוגזם
	•	חברים: להבין מחיר להשתתפות מהר
	•	מפיק/מקום: לקבל תקציב סופי לסגירה";"	•	חבר הכי טוב: ביטול ברגע האחרון של פעילות
	•	החתן: פעילות שתצא מוגזמת מדי
	•	חברים: בלגן ארגוני שיפגע בכיף
	•	מפיק/מקום: תקלה שתפיל את הערב";"	•	חבר הכי טוב: Принимает решение
	•	החתן: Влияет на решение
	•	חברים: Влияет на решение
	•	מפיק/מקום: Посредник";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Photo-box-selfie
Catering
Branding
Balloons
planning_events
table_rent
";;;;;;;;;;;;
הכנסת ספר תורה;torah_scroll_dedication;;מסורתי דתי;הכנסת ספר תורה היא אירוע חגיגי שבו מכניסים ספר תורה חדש לבית הכנסת. בדרך כלל מתקיימת תהלוכה שמחה עם שירה וריקודים, לעיתים כתיבת אותיות אחרונות, ולאחר מכן תפילה וסעודת מצווה—כדי לציין את המעמד המכובד והמרגש.;לרוב 15 ימים לפני, עד - כמה ימים לפני האירוע;;;;;;;;;שעה וחצי +-;;בית כנסת;בחוץ;"	•	תורם/משפחה תורמת: נרגש, ירא
	•	גבאי/ועד בית כנסת: אחראי, תקני
	•	רב: רשמי, מוביל
	•	מתפללים/קהילה יוזמת: מרוגשים, מחויבים";"•	תורם/משפחה תורמת: בינוני
	•	גבאי/ועד בית כנסת: גבוה
	•	רב: בינוני
	•	קהילה יוזמת: בינוני";"	•	תורם/משפחה תורמת: לוודא כבוד ביצוע לפי מסורת
	•	גבאי/ועד: לסגור לוגיסטיקה ספק אמין
	•	רב: לוודא התאמה לסדר הטקס
	•	קהילה יוזמת: לקבל הצעת מחיר מסודרת";"	•	תורם/משפחה תורמת: פגיעה בכבוד המעמד הקדוש
	•	גבאי/ועד: חוסר סדר שיפגע במהלך הטקס
	•	רב: אי התאמה לסדר והנהגה
	•	קהילה יוזמת: תקלה שתביך מול המתפללים";"	•	תורם/משפחה תורמת: Совместное решение
	•	גבאי/ועד: Влияет на решение
	•	רב: Влияет на решение
	•	קהילה יוזמת: Влияет на решение";;B2C;;;;;;;;"
Magnets
Blocks
stills
Video
Catering
Branding
Balloons
planning_events
table_rent

";Games;;;;;;;;;;;