event_id;service_id;Разрешено;По умолчанию;Условия;Комментарий
brit_mila;Magnets;כן;כן;;
brit_mila;Blocks;כן;לא;;
brit_mila;stills;כן;כן;;
brit_mila;Video;כן;לא;;
brit_mila;Photo-box-selfie;כן;לא;;
brit_mila;Catering;כן;לא;Если зал торжеств и или ресторан тогда не предлогать. Но если это синагога - предлогать;
brit_mila;Branding;כן;;;
brit_mila;Balloons;כן;כן;;
brit_mila;planning_events;לא;לא;;
brit_mila;Album;כן;לא;;
pidyon_haben;;;;;
brita;;;;;
bar_mitzvah_party;;;;;
bat_mitzvah_party;;;;;
aliyah_torah_synagogue;;;;;
aliyah_torah_kotel;;;;;
aliyah_torah_masada;;;;;
birthday_child;;;;;
birthday_adult;;;;;
proposal;;;;;
hafrashat_hallah;;;;;
henna;;;;;
wedding;;;;;
school_graduation;;;;;
work_team_day;;;;;
conference;;;;;
lecture;;;;;
ceremony;;;;;
bachelorette_party;;;;;
bachelor_party;;;;;
torah_scroll_dedication;;;;;